id,name,description,icons,image_caption,organization,primary_contact,referral,street_address_1,street_address_2,city,state,zip,county,website,email,phone,latitude,longitude,Assessment and Diagnosis,Treatment and Therapies ,Treatment and Therapies ,Treatment and Therapies ,Physical and Mental Health ,Education and Technology ,Adulthood and Transition,Family Supports and Parent Training,Financial Assistance and Advocacy,National ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
2,Parent Educational Advocacy Training Center (PEATC),"Parent Educational Advocacy Training Center (PEATC), Virginia, provides training and information to parents to enable them to participate more effectively with professionals in meeting the educational needs of their children. PEATC  also offers services and support for families and professionals, research-based information, and training opportunities for strategic partnerships and advocacy for systemic improvement.",,,,,,8003 Forbes Place,Suite 310,Springfield,VA,22151,,http://www.peatc.org/ ,partners@peatc.org,(703) 923-0010,38.8073918,-77.2203068,,,,,,,,Family Supports and Parent Training,            Parent-Advocacy ,    Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
3,Virginia Commonwealth University Autism Center for Excellence (VCU-ACE),"Virginia Commonwealth University Autism Center for Excellence (VCU-ACE) VCU-ACE is a university-based research center that aims to improve services and supports for individuals with autism spectrum disorder (ASD) by promoting the implementation of research-based practices in schools and the community through training, technical assistance, research, and collaboration.  ",,,,,,1314 West Main Street,P.O. Box 842011,Richmond,VA,23284-2011,,https://vcuautismcenter.org/about/,autismcenter@vcu.edu,(855) 711-6987,37.546483,-77.457561,,,,,,Education and Technology ,,Family Supports and Parent Training,,    Virginia,,,,,
4,"Virginia Department of Education, Division of Special Education","Virginia Department of Education, Division of Special Education provides information for parents about guidelines and regulations in regards to student and school support. Other resources include technical assistance, IEP, law, statistics, and resolving disputes on special education program around the state of Virginia. The division of special education in Virginia Department of Education also offer parent training and other family support services. ",,,,Phyllis Mondak,,James Monroe Building,101 N. 14th Street,Richmond,VA,23219,,http://www.doe.virginia.gov/special_ed/index.shtml ,phyllis.mondak@doe.virginia.gov,(804) 225-2675,37.5369984,-77.4294081,,,,,,Education and Technology ,,Family Supports and Parent Training,,    Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
5,Infant and Toddler Connection of Virginia,The Infant & Toddler Connection of Virginia provides early intervention supports and services to infants and toddlers from birth through age two who are not developing as expected or who have a medical condition that can delay normal development. Early intervention supports and services focus on increasing the child's participation in family and community activities that are important to the family. These supports and services are available for all eligible children and their families regardless of the family's ability to pay. ,,,,Mary Ann Discenza ,,"1220 Bank Street, 9th Floor",P.O. Box 1797,Richmond,VA,23219-1797,,http://infantva.org/,maryann.discenza@dbhds.virginia.gov,(804) 786-3710,37.537247,-77.4325999,,    Early Intervention,,,    Developmental Delays,Education and Technology ,,Family Supports and Parent Training,      Advocacy,    Virginia,Pre-K (0 - 5 years),,,,
6,"West Virginia State Department of Education, Office of Special Programs","West Virginia Department of Education, Office of Special Education provides information for parents about guidelines and regulations in regards to student and school support.  Other resources include technical assistance, IEP,  financial assistance, Medicaid information, and other agencies around the state of West Virginia. The purpose of the office of special education in the West Virginia Department of Education is to improve results for children and youth, primarily through leadership and financial support to local education agencies.",,,,Ginger Huffman ,,1900 Kanawha Boulevard East,,Charleston,WV,25305-0009,,http://wvde.state.wv.us/osp/,vhuffman@access.k12.wv.us,(304) 558-2696,38.3363866,-81.612284,,,,,,Education and Technology ,,Family Supports and Parent Training,Financial Assistance and Advocacy,West Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
7,West Virginia Birth to Three Office of Maternal and Child Health  ,"WV Birth to Three is a statewide system of services and supports for children under age three who have a delay in their development, or may be at risk of having a delay, and their family.  The Department of Health and Human Resources, through the Bureau for Public Health and the Office of Maternal, Child and Family Health, WV Birth to Three, as the lead agency for Part C of the Individuals with Disabilities Education Act (IDEA), assures that family-centered, community-based services are available to all eligible children and families.",,,,Pam Roush ,,350 Capitol Street,Room 427,Charleston,WV,25301-3714,,http://www.wvdhhr.org/birth23/,pam.s.roush@wv.gov,(304) 558-6311,38.3507828,-81.6320269,,    Early Intervention,,,    Developmental Delays,Education and Technology ,,Family Supports and Parent Training,,West Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
8,West Virginia Parent Training and Information (PTI),"The West Virginia Parent Training and Information, Inc. (WV PTI) is a non-profit organization that operates the statewide federally funded Parent Training Center for WV and is the Family Voices State Affiliate Organization for West Virginia. The programs and services of WVPTI are based on the concept of parents helping parents. WVPTI, Inc. is committed to empowering parents and families of children and youth with disabilities and special healthcare needs as advocates and partners in improving education, transition, and healthcare outcomes for their children from birth to age 26.",,,,,,99 Edmiston Way,,Buckhannon, WV ,26201,,http://www.wvpti-inc.org/,wvpti@aol.com,(304) 624-1436,39.004755,-80.2513419,,,,,,Education and Technology ,Adulthood and Transition,Family Supports and Parent Training,      Advocacy,West Virginia,,,,,
9,Mountaineer Autism Project ,"The Mountaineer Autism Project (MAP) is a nonprofit organization of parents of children with autism and professionals in the autism field. MAP’s goal is to have one voice in West Virginia dedicated to early autism detection, diagnosis, and early intensive behavioral intervention. MAP provides provider information around the state of West Virginia and organizes conferences and events for parents with autism",,,,,,"1114 Kanawha Blvd, E",,Charleston,WV ,25301,,http://mountaineerautismproject.org/,mapwvautism@gmail.com,(304) 602-4627,38.3453212,-81.6331552,,    Early Intervention,,,    Developmental Delays,,,Family Supports and Parent Training,,West Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),,,
10,Accessible Theatre Project ,"Accessible Theatre Project offers safe, judgment-free environments for audiences who would benefit from accessibility accommodations. It provides theater experiences for children with autism or other sensory-related disabilities and their families by partnering with theater organizations to create sensory-friendly productions. The show is performed as written, but with special accommodations to account for potential sensory challenges.",,,,,,"Accessible Theatre Project Newcomb Hall, SAC Box 110",,Charlottesville ,VA,22904,,https://accessibletheatreproject.wordpress.com/,accessibletheatreproject@gmail.com,,38.0359236,-78.5066114,,,,,,,,      Autism-friendly Events,,         Charlottesville ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
11,Charlottesville Region Autism Action Group (CRAAG),The mission of the Charlottesville Region Autism Action Group is to provide leadership in the implementation of a regional system of services and resources to maximize the potential and d quality of life of individuals with autism spectrum disorders and their families across the lifespan. The team members are largely parents of individuals ranging from transition age to adulthood facing lifelong challenges. The CRAAG organize monthly meetings and special needs support groups. ,,,,,,,Support Group ,Charlottesville ,VA,22903,,https://cahumanservices.org/autism-action-groups/,craag1@gmail.com,(434) 466-7511,38.0293059,-78.4766781,,,,,,,,      Support Groups,      Advocacy,         Charlottesville ,,,,,
12,Family to Family Network of Virginia,"The Family to Family Network of Virginia is an initiative of the Center for Family Involvement at Virginia Commonwealth University’s Partnership for People with Disabilities. F2F Network provides 1:1 emotional, informational and disability and community services and systems navigational support using peer support model based on Parent to Parent USA evidence-based practices in matching families one-to-one using trained, volunteer parents, grandparents, siblings, and self-advocates.",,,F2F,Nickie Brandenburger,,700 East Franklin Street,,Richmond,VA,23284,,https://centerforfamilyinvolvement.vcu.edu/family-to-family-network/,tnbrandenburg@vcu.edu,(877) 567-1122,37.5400864,-77.4366154,,,,,,,,      Support Groups,      Advocacy,    Virginia,,,,,
13,First Fridays - First Presbyterian Church ,First Fridays is a small group gathering by parents of children with disabilities.,,,,Carol,,"First Presbyterian Church, 500 Park Street",,Charlottesville ,VA,22902,,,ch2xa@virginia.com,(434) 924-8685,38.033157,-78.475704,,,,,,,,      Support Groups,,         Charlottesville ,,,,,
14,Parent Resource Center ,"The Parent Resource Center (PRC) serves parents of children with disabilities or special needs and promotes partnerships among parents, educators, and community resources. The PRC serves as an information and referral source for needed services that are available in our community, training for parents, and provides support and information groups for families and educators. In addition, the PRC maintains a book and video lending library to provide historical and current information on meeting the needs of special needs students.",,,,,,"1434 Rolkin Court,", Suite 201,Charlottesville ,VA,22903,,http://www.prepivycreek.com/prc/,danama@k12albermarle.org,(434) 975-9400,38.0295044,-78.4411561,,,,,,,,      Support Groups,,         Charlottesville ,,,,,
15,Dot to Dot: Pediatric Speech Language Therapy LLC,"Dot to Dot: Pediatric Speech Language Therapy LLC is a private service providing speech-language therapy services home,school and center settings and it integrates yoga practice is the speech-language sessions. Dot to Dot also recognizes that sensory processing disorder co-exists with other diagnoses and provides sensory Processing Disorder Support Group to share experiences and resources within a supportive environment. ",,,,Sheila Crobak ,,2300 Commonwealth Drive,Suite C,Charlottesville ,VA,22901,,https://www.dottodotspeech.com/,sheila.chrobak@gmail.com,(434) 327-7121,38.0730845,-78.4882694,,    Speech and Communication,,,,,,      Support Groups,,         Charlottesville ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
16,Dr. Lewis Weber & Associates: Social Skills Group,"Dr. Lewis Weber & Associates provides different types of psychotherapy, supervision, and training. It has teams for children, adolescents, adults and individuals for eating disorders. It offers an extensive group therapy program in 3 locations in Charlottesville. The Social Skills Group is provided by Adam Williams, MS, LPC, NCC. ",,,,Adam D Williams ,,875 Rio East Court ,Suite C,Charlottesville ,VA,22901,,https://www.weberpsychotherapy.com/staff-WilliamsAdam.html,adamwilliamsplc@icloud.com,"(434) 963-0324, ext 13",38.0772112,-78.467957,,    Counseling,    Social Skills Training,,    Mental Health ,,,,,         Charlottesville ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
