name,description,icons,image_caption,Organization,website,phone,Assessment and Diagnosis,Treatment and Therapies ,Physical and Mental Health ,Education and Technology ,Adulthood and Transition,Familiy Supports and Parent Training ,Financial Assistance and Advocacy,Age Range,Type of Resources
Applied Behavior Analysis Toolkit,"This tool kit is an informational guide to Applied Behavioral Analysis (ABA). It is designed to provide you with a better understanding of what is ABA, how your child can benefit, and where/how you can seek ABA services. This tool kit is the product of on-going activities of the Autism Speaks Autism Treatment Network, a funded program of Autism Speaks.",,,Autism Speaks,https://www.autismspeaks.org/tool-kit/atnair-p-parents-guide-applied-behavior-analysis,888-288-4762,,    Applied Behavior Analysis,,,,,,All ,Handout 
Challenging Behaviors Toolkit,"This tool kit is an informational guide to challenging behaviors of children with autism. It is designed to provide you with strategies and resources and lead you to professionals within your community. The challenging behaviors are classified as behaviors that are harmful, destructive, prevent access to learning and full participation in all aspect of community life and cause others to label or isolate the individual for being odd or different.  This tool kit is the product of on-going activities of the Autism Speaks Autism Treatment Network, a funded program of Autism Speaks.",,,Autism Speaks,https://www.autismspeaks.org/tool-kit/atnair-p-parents-guide-applied-behavior-analysis,888-288-4762,,,    Challenging Behaviors,,,,,All ,Handout 
Introduction to Behavioral Health Treatments,"This tool kit is designed to provide parents of children with ASD with an overview of in-home strategies as well as tips to teach and increase desirable behaviors and decrease behavior problems. This tool kit also provides parents with an overview of professional behavioral treatments that families can seek out from qualified professionals. This tool kit is the product of on-going activities of the Autism Speaks Autism Treatment Network, a funded program of Autism Speaks.",,,Autism Speaks,https://www.autismspeaks.org/tool-kit/atnair-p-parents-guide-applied-behavior-analysis,888-288-4762,,    Applied Behavior Analysis,,,,,,All ,Handout 
Visual Supports Toolkit,"A handout explaining the use of Picture Exchange Communication systems (PECS), visual schedules, and first-then boards as methods for promotion independent and functional communication in individuals with autism. These tools can also be helped promote other activities of independence, such as tolerating transitions and delayed access to preferred items or activities. This resource was published by Autism Speaks in collaboration with the Vanderbilt Kennedy Center. ",,,Autism Speaks,https://vkc.mc.vanderbilt.edu/vkc/resources/,,,    Speech and Communication Supports,,          Non-Verbal (visual aids),,,,All ,Handout 
Visual Strategies for Improving Communication (Revised and Updated),The contents of this book explain the use of visual strategies to improve communication for students with Autism Spectrum Disorders and other students who experience moderate to severe communication challenges. It is full of easy to use techniques and strategies that will help these students participate more effectively in social interactions and life routines.,,,QuirkRoberts Publishing,https://www.amazon.com/Strategies-Improving-Communication-Revised-Updated/dp/0982876106,,,    Speech and Communication Supports,,          Non-Verbal (visual aids),,,,All ,Book
Summer Camp - Questions to ask ,This handout details questions parents of children with special needs may want to include when inquiring about summer camp opportunities for their children. It includes suggestions for navigating the process of finding the 'right camp' for parents. This resource is from the Camp Akeela (www.campakeela.com) blog. ,,,Camp Akeela ,http://campakeela.com/choosing-a-camp-for-a-child-with-special-needs/,,,,,,,      Recreation & Camps,,Childhood (0 - 13 years),Handout
Autism Speaks 'Family Services' Dental Guide,"This handout presents families with a guide on promoting oral health for children with autism. It includes tips on promoting teeth brushing, on how to prepare for dental visits, and how to work dentists to ensure that a dental visit is as successful as possible. This handout is the product of on-going activities of the Autism Speaks Autism Treatment Network, a funded program of Autism Speaks.",,,Autism Speaks,http://www.autismspeaks.org/family-services,888-288-4762,,,              Dental Care,,,,,Childhood (0 - 13 years),Handout 
Exploring Feeding Behavior in Autism,"This toolkit is designed to help families affected by Autism Spectrum Disorder understand eating behaviors, give guidance on how to address feeding issues, and review some common questions that families have about eating problems. This handout is the product of on-going activities of the Autism Speaks Autism Treatment Network, a funded program of Autism Speaks.",,,Autism Speaks,http://www.autismspeaks.org/family-services,888-288-4762,,,              Feeding issues,,,,,Childhood (0 - 13 years),Handout 
Tips and Resources for Promoting Internet Safety,"This handout presents parents and/or caregivers with tips on how to keep your child, your computer and personal data safe. It is designed to help parents and/or caregiver how to teach your child to become a good digital citizen and to provide other resources about the risks and guidelines to the internet and mobile security. ",,,National Cyber Security Alliance ,https://staysafeonline.org/get-involved/at-home/raising-digital-citizens/,,,,,     School,,,,School age (6 - 13 years),Handout
Autism: Should My Child Take Medicine for Challenging Behavior,"This toolkit, published by Autism Speaks and the Autism Intervention Research Network on Physical Health (AIR-P), provides caregivers with a decision aid when considering psychotropic medications as treatment options to manage their child's challenging behavior, answers to frequently asked questions about medication use, information about common medication side effects, personal stories from families, and a review of alternative options for caregivers to consider. ",,,Autism Speaks,https://www.autismspeaks.org/tool-kit/atnair-p-parents-guide-applied-behavior-analysis,888-288-4762,,    Medication,    Challenging Behaviors,,,,,Childhood (0 - 13 years),Handout 
